iter	RMSE
0	10.62843339
1	10.43909272
2	10.20845476
3	10.01959694
4	9.866151601
5	9.668349328
6	9.474803542
7	9.287983386
8	9.12157353
9	8.993791117
10	8.842611541
11	8.699031638
12	8.566242375
13	8.454586263
14	8.338515283
15	8.223700215
16	8.1178294
17	8.017347617
18	7.912488264
19	7.8254976
20	7.733837111
21	7.650696919
22	7.566579473
23	7.499774846
24	7.443618441
25	7.362065119
26	7.294959684
27	7.235660407
28	7.194644726
29	7.132647513
30	7.071363244
31	7.0154504
32	6.962939528
33	6.919333441
34	6.86756261
35	6.836714737
36	6.787808342
37	6.746827805
38	6.712294682
39	6.668519525
40	6.638594029
41	6.603251472
42	6.573956776
43	6.541052045
44	6.516623864
45	6.490236889
46	6.465851138
47	6.436700039
48	6.419930152
49	6.395797088
50	6.372362069
51	6.351679088
52	6.327055877
53	6.303966023
54	6.284018383
55	6.271159887
56	6.254068229
57	6.237927375
58	6.218043781
59	6.213102297
60	6.201533806
61	6.186167228
62	6.176572475
63	6.160651281
64	6.143874415
65	6.123539316
66	6.114517007
67	6.10657658
68	6.091929642
69	6.089865038
70	6.08206149
71	6.075143958
72	6.069882012
73	6.067197669
74	6.053761012
75	6.041416426
76	6.030202654
77	6.026062735
78	6.018732756
79	6.015353295
80	6.003714055
81	5.986280074
82	5.983743967
83	5.971318434
84	5.963486889
85	5.960918225
86	5.957135735
87	5.955241197
88	5.948232786
89	5.944718794
90	5.935194502
91	5.931361679
92	5.920202436
93	5.918488638
94	5.90873588
95	5.90599976
96	5.898974653
97	5.894542568
98	5.890598902
99	5.888486566
100	5.877004398
101	5.870778019
102	5.86083082
103	5.8589983
104	5.855168724
105	5.851618986
106	5.849479414
107	5.840611105
108	5.833483114
109	5.828203843
110	5.825592251
111	5.816906504
112	5.810926001
113	5.808548271
114	5.806184022
115	5.802800749
116	5.797332036
117	5.792853494
118	5.787381883
119	5.784943161
120	5.772870052
121	5.770407974
122	5.761789638
123	5.758346494
124	5.755977593
125	5.744901846
126	5.742790182
127	5.739743698
128	5.73764327
129	5.731865566
130	5.728137936
131	5.726437066
132	5.719832487
133	5.715479332
134	5.709347765
135	5.707285605
136	5.705172416
137	5.695732856
138	5.693977003
139	5.691675328
140	5.689586764
141	5.686695274
142	5.68156694
143	5.678686386
144	5.675334088
145	5.671201797
146	5.668760568
147	5.662919016
148	5.661330948
149	5.658751582
150	5.656245658
151	5.654066628
152	5.645033413
153	5.64324439
154	5.633972845
155	5.630947208
156	5.629202084
157	5.62679711
158	5.625143013
159	5.623088569
160	5.621462382
161	5.608318036
162	5.606529573
163	5.604841205
164	5.603068745
165	5.601144175
166	5.598809782
167	5.595787378
168	5.592749153
169	5.590057918
170	5.587432018
171	5.584781676
172	5.582001182
173	5.575010133
174	5.568696566
175	5.56625549
176	5.564308108
177	5.555667646
178	5.554196204
179	5.552244552
180	5.549513506
181	5.546384925
182	5.544007642
183	5.541282631
184	5.538380125
185	5.536418871
186	5.533774787
187	5.531384669
188	5.528540734
189	5.52609043
190	5.523224844
191	5.520970093
192	5.51820036
193	5.515609624
194	5.513132603
195	5.509625068
196	5.507211362
197	5.505078011
198	5.502349632
199	5.499757723
200	5.496966781
201	5.494375063
202	5.491932187
203	5.489350468
204	5.486636802
205	5.484062136
206	5.481403044
207	5.478747963
208	5.476037808
209	5.473439371
210	5.4708472
211	5.468175832
212	5.465619715
213	5.463012285
214	5.460539822
215	5.457980546
216	5.455420739
217	5.452966862
218	5.450422531
219	5.447999961
220	5.445639234
221	5.443240256
222	5.44081808
223	5.43844212
224	5.43601052
225	5.427969556
226	5.42560528
227	5.423255927
228	5.415693891
229	5.406794617
230	5.404487788
231	5.402114952
232	5.399824751
233	5.397450699
234	5.395127767
235	5.392832352
236	5.390532488
237	5.388269667
238	5.385975406
239	5.383733822
240	5.381488582
241	5.379257352
242	5.377068703
243	5.374875912
244	5.372666318
245	5.370491282
246	5.368337305
247	5.366146655
248	5.364022079
249	5.352358698
250	5.350228782
251	5.348062422
252	5.345944836
253	5.343827392
254	5.341727341
255	5.339650577
256	5.337572425
257	5.335498451
258	5.333452388
259	5.331388748
260	5.329347888
261	5.327313557
262	5.319130586
263	5.317117194
264	5.315094518
265	5.313057195
266	5.306585481
267	5.30458138
268	5.302593692
269	5.300593259
270	5.29860113
271	5.291922047
272	5.289925173
273	5.287959958
274	5.285992777
275	5.284033117
276	5.282063444
277	5.280125991
278	5.27820263
279	5.276281636
280	5.274361149
281	5.272470299
282	5.27056318
283	5.268666875
284	5.266778613
285	5.264897608
286	5.263014341
287	5.261122298
288	5.259255423
289	5.257390926
290	5.255539934
291	5.253692789
292	5.251846173
293	5.250002646
294	5.248167045
295	5.239751461
296	5.237923113
297	5.236073818
298	5.234255699
299	5.232436403
300	5.230632638
301	5.228831951
302	5.227031543
303	5.225248404
304	5.223475934
305	5.215879409
306	5.21410443
307	5.212326832
308	5.210565563
309	5.208797964
310	5.207032226
311	5.205254428
312	5.203502777
313	5.201756786
314	5.200023732
315	5.197959162
316	5.196209429
317	5.194478678
318	5.192757654
319	5.191047114
320	5.189329441
321	5.187617283
322	5.185909859
323	5.18420859
324	5.182510718
325	5.180518611
326	5.178832062
327	5.177143198
328	5.175444099
329	5.17377207
330	5.172084869
331	5.17041774
332	5.168753617
333	5.167094355
334	5.165434758
335	5.163780773
336	5.153227719
337	5.151563402
338	5.149909748
339	5.148270753
340	5.146630156
341	5.144990723
342	5.143359653
343	5.141731523
344	5.140107518
345	5.138492494
346	5.13687881
347	5.13526187
348	5.128086368
349	5.126479262
350	5.124848752
351	5.123238677
352	5.121616255
353	5.120014176
354	5.113834801
355	5.112245132
356	5.110653419
357	5.109046061
358	5.10746
359	5.105862322
360	5.104284209
361	5.10271019
362	5.10114544
363	5.099585209
364	5.098027617
365	5.096465842
366	5.094907127
367	5.093358647
368	5.091814795
369	5.090248489
370	5.088702456
371	5.08020925
372	5.071465096
373	5.069913574
374	5.068374033
375	5.066815831
376	5.055440419
377	5.05390639
378	5.05237139
379	5.050849241
380	5.046491151
381	5.04494374
382	5.043422445
383	5.041910186
384	5.040396786
385	5.038870497
386	5.031391268
387	5.029866897
388	5.028370016
389	5.026872149
390	5.025381694
391	5.023895198
392	5.022412764
393	5.020927195
394	5.019444857
395	5.017949515
396	5.008451428
397	5.006973445
398	5.005505947
399	5.004041576
400	5.002573176
401	5.001107297
402	4.999649825
403	4.998188562
404	4.996734871
405	4.995288007
406	4.993837207
407	4.992397236
408	4.990959365
409	4.989516391
410	4.988082671
411	4.986643334
412	4.985213705
413	4.983778405
414	4.982346976
415	4.980926273
416	4.979508956
417	4.978086181
418	4.971607249
419	4.970187578
420	4.968776636
421	4.967339127
422	4.965932486
423	4.964529233
424	4.963121488
425	4.9617252
426	4.960321507
427	4.958920309
428	4.957530107
429	4.956141368
430	4.954755156
431	4.953370702
432	4.947377881
433	4.945992849
434	4.94460167
435	4.943214288
436	4.941830725
437	4.937457594
438	4.936081946
439	4.934680271
440	4.933309684
441	4.931942464
442	4.930569178
443	4.929207178
444	4.927849174
445	4.926463766
446	4.915981109
447	4.914618204
448	4.913255713
449	4.908896998
450	4.90754412
451	4.906184329
452	4.904826914
453	4.903471748
454	4.902120794
455	4.900771882
456	4.899424167
457	4.898081836
458	4.896741522
459	4.891338946
460	4.889995105
461	4.88866312
462	4.887333613
463	4.87723171
464	4.871759994
465	4.870419462
466	4.869084139
467	4.867751741
468	4.866422613
469	4.865095657
470	4.863770502
471	4.862447557
472	4.861129398
473	4.859797996
474	4.85847065
475	4.857144698
476	4.855798282
477	4.85449487
478	4.853194362
479	4.851875587
480	4.850580242
481	4.849280752
482	4.847984673
483	4.846691168
484	4.845405879
485	4.844115479
486	4.842829024
487	4.841540544
488	4.840239443
489	4.838940583
490	4.837657782
491	4.836375677
492	4.83510118
493	4.833823992
494	4.832535827
495	4.831251031
496	4.829980394
497	4.828678092
498	4.827413129
499	4.826146477
500	4.824881368
501	4.823617263
502	4.821813133
503	4.820538023
504	4.819277608
505	4.814504247
506	4.813244071
507	4.811991195
508	4.810725272
509	4.809473199
510	4.808225568
511	4.806976567
512	4.805729458
513	4.804484182
514	4.803240435
515	4.801987589
516	4.792048486
517	4.790801693
518	4.789558334
519	4.788323829
520	4.782000426
521	4.780765846
522	4.779534445
523	4.778302564
524	4.772356637
525	4.771120575
526	4.769891845
527	4.768653548
528	4.767429322
529	4.766206865
530	4.764986975
531	4.76376346
532	4.758178547
533	4.756962023
534	4.755737003
535	4.754523958
536	4.753312631
537	4.752103053
538	4.750869322
539	4.749663024
540	4.745837462
541	4.744623919
542	4.743419607
543	4.742217619
544	4.741015948
545	4.739807516
546	4.738601726
547	4.737403992
548	4.736207559
549	4.735014888
550	4.733817636
551	4.732626882
552	4.731438662
553	4.730251477
554	4.729055707
555	4.727870629
556	4.72668748
557	4.7255055
558	4.724324859
559	4.723145561
560	4.719700859
561	4.718521636
562	4.712991109
563	4.711804251
564	4.710628504
565	4.707145481
566	4.705961487
567	4.704789333
568	4.70362006
569	4.702452428
570	4.701286163
571	4.700120483
572	4.698956353
573	4.697771067
574	4.696608916
575	4.695449287
576	4.694290753
577	4.693132884
578	4.691786734
579	4.69063235
580	4.68948108
581	4.688331955
582	4.687183762
583	4.686036614
584	4.684730092
585	4.683559476
586	4.682408047
587	4.681263815
588	4.676377426
589	4.670175677
590	4.658478875
591	4.657319372
592	4.656171904
593	4.655026889
594	4.653884419
595	4.652743852
596	4.651599028
597	4.650465248
598	4.649334092
599	4.648197524
600	4.647063148
601	4.645936831
602	4.644810131
603	4.643686254
604	4.64255832
605	4.641434946
606	4.640310547
607	4.639192733
608	4.638073952
609	4.636956768
610	4.635844248
611	4.634730136
612	4.633614095
613	4.632501714
614	4.631387576
615	4.630280495
616	4.629174666
617	4.628057746
618	4.626952192
619	4.625849605
620	4.624743974
621	4.623644489
622	4.62254361
623	4.621447533
624	4.620352108
625	4.61925813
626	4.612237849
627	4.61113475
628	4.610035519
629	4.608942568
630	4.607851176
631	4.606761451
632	4.605669791
633	4.604582503
634	4.60349253
635	4.602403338
636	4.60130394
637	4.6002165
638	4.599130657
639	4.598048394
640	4.596964662
641	4.595883289
642	4.589579327
643	4.588498233
644	4.585671457
645	4.584592171
646	4.58351217
647	4.582432304
648	4.581344737
649	4.580261034
650	4.579189664
651	4.578118481
652	4.57705027
653	4.575983018
654	4.574916338
655	4.573850444
656	4.572783907
657	4.57171537
658	4.570649963
659	4.569590526
660	4.56851888
661	4.563588071
662	4.56252246
663	4.557968186
664	4.551216819
665	4.544640631
666	4.543563192
667	4.542497809
668	4.541434468
669	4.535822128
670	4.534749442
671	4.533690287
672	4.532625347
673	4.524919169
674	4.52386042
675	4.522807089
676	4.521754739
677	4.517579986
678	4.516527217
679	4.515478247
680	4.514430711
681	4.513385379
682	4.512342165
683	4.511125376
684	4.510082956
685	4.509046094
686	4.507999694
687	4.50696562
688	4.505247862
689	4.504213442
690	4.503172215
691	4.50214367
692	4.501115692
693	4.500089826
694	4.49906045
695	4.498036271
696	4.497010838
697	4.495988964
698	4.494965709
699	4.493945544
700	4.49292164
701	4.491889987
702	4.490863798
703	4.489848592
704	4.488831811
705	4.487815895
706	4.486800901
707	4.485787247
708	4.484775204
709	4.475611927
710	4.474593537
711	4.473579369
712	4.472567749
713	4.463350899
714	4.46233714
715	4.461330539
716	4.460327981
717	4.45932377
718	4.458325102
719	4.457313602
720	4.456313338
721	4.45531398
722	4.454305259
723	4.453311397
724	4.45230507
725	4.451312978
726	4.450319123
727	4.44234833
728	4.441349384
729	4.440359395
730	4.439365905
731	4.438378168
732	4.437374864
733	4.436390258
734	4.435406311
735	4.434421926
736	4.433440396
737	4.432459773
738	4.431475012
739	4.430496463
740	4.429519008
741	4.428542098
742	4.427560881
743	4.426581839
744	4.425608315
745	4.42442715
746	4.423454794
747	4.422483649
748	4.418012046
749	4.417028336
750	4.416055555
751	4.415085824
752	4.41411269
753	4.413144986
754	4.412173448
755	4.411203285
756	4.410234274
757	4.409269145
758	4.408305436
759	4.40733951
760	4.406377405
761	4.405413874
762	4.404451685
763	4.403480337
764	4.402524159
765	4.401568666
766	4.400613922
767	4.399657169
768	4.398701237
769	4.397748534
770	4.3967924
771	4.395826769
772	4.394875825
773	4.393925536
774	4.392973014
775	4.392011993
776	4.391065299
777	4.382530205
778	4.38156804
779	4.380615146
780	4.379668109
781	4.371563731
782	4.370614873
783	4.369669518
784	4.368713355
785	4.36777104
786	4.36682934
787	4.360980846
788	4.360033216
789	4.359089177
790	4.358137148
791	4.357197517
792	4.356259169
793	4.355319695
794	4.354381943
795	4.353443421
796	4.352511212
797	4.351570442
798	4.350638563
799	4.349709233
800	4.348781133
801	4.347853881
802	4.346923518
803	4.345993984
804	4.345068942
805	4.344140871
806	4.343216392
807	4.342292771
808	4.333510222
809	4.33258129
810	4.331653498
811	4.330727053
812	4.329793302
813	4.328716244
814	4.327795097
815	4.326865603
816	4.325937835
817	4.325019029
818	4.319663764
819	4.318741739
820	4.317822239
821	4.316905338
822	4.315991625
823	4.315074261
824	4.31415802
825	4.313247086
826	4.308132923
827	4.307218505
828	4.306299474
829	4.305390243
830	4.304480777
831	4.303571979
832	4.302656959
833	4.301745571
834	4.300750294
835	4.299846102
836	4.298942635
837	4.298031833
838	4.297128962
839	4.296226923
840	4.295326824
841	4.29442786
842	4.293529867
843	4.292631618
844	4.291735558
845	4.290839971
846	4.289929457
847	4.285726819
848	4.284826934
849	4.281322788
850	4.280350648
851	4.279449606
852	4.278554145
853	4.277654797
854	4.276761092
855	4.275859345
856	4.274962606
857	4.274071367
858	4.273179396
859	4.272268618
860	4.271379419
861	4.270491786
862	4.269604501
863	4.268702247
864	4.267812554
865	4.26421411
866	4.263328527
867	4.256527042
868	4.255635217
869	4.254749088
870	4.249412249
871	4.248524169
872	4.24763531
873	4.246700508
874	4.245818295
875	4.239670481
876	4.231272952
877	4.230383712
878	4.229489984
879	4.228599323
880	4.227717946
881	4.226839283
882	4.222470693
883	4.221590455
884	4.220696354
885	4.219820065
886	4.214348152
887	4.213461022
888	4.212580891
889	4.211702281
890	4.210827917
891	4.209951623
892	4.209076462
893	4.208206536
894	4.207329553
895	4.206461767
896	4.205591605
897	4.20472665
898	4.203862597
899	4.202990807
900	4.202129168
901	4.201263752
902	4.200402667
903	4.19363352
904	4.192767639
905	4.191907195
906	4.191044018
907	4.19018629
908	4.189329837
909	4.188472223
910	4.182532923
911	4.181637197
912	4.177363787
913	4.17649908
914	4.17139907
915	4.170536434
916	4.169674323
917	4.168815279
918	4.167958396
919	4.1670936
920	4.166231147
921	4.165376274
922	4.164522781
923	4.163456196
924	4.162596395
925	4.161748399
926	4.160898975
927	4.160052675
928	4.159204657
929	4.158360132
930	4.157514777
931	4.156672264
932	4.15583047
933	4.154989612
934	4.15414766
935	4.153308479
936	4.152469861
937	4.151631701
938	4.150792778
939	4.149952884
940	4.149104736
941	4.144447833
942	4.143607625
943	4.142768587
944	4.14192982
945	4.140954663
946	4.140117103
947	4.139279972
948	4.138443911
949	4.137608821
950	4.136777363
951	4.135943728
952	4.135113385
953	4.134283511
954	4.133451728
955	4.132624174
956	4.131797238
957	4.130970791
958	4.130142228
959	4.129313723
960	4.122663246
961	4.121829141
962	4.12100128
963	4.12017487
964	4.119349995
965	4.118523918
966	4.117690007
967	4.116868428
968	4.115917326
969	4.115093159
970	4.114261299
971	4.113439436
972	4.107684799
973	4.106859476
974	4.1060373
975	4.105215288
976	4.101102427
977	4.100275098
978	4.099451781
979	4.098633063
980	4.097813572
981	4.096997776
982	4.096179713
983	4.095363681
984	4.094547151
985	4.093734928
986	4.092921229
987	4.092101203
988	4.091290567
989	4.090478574
990	4.089667236
991	4.088844673
992	4.087910833
993	4.087094031
994	4.082020707
995	4.081208279
996	4.080399515
997	4.079587128
998	4.078777423
999	4.077969743
