iter	Passed	Remaining
0	154	154678
1	162	81052
2	169	56305
3	174	43467
4	181	36069
5	187	31100
6	195	27738
7	202	25102
8	206	22755
9	213	21103
10	227	20420
11	234	19271
12	240	18251
13	247	17398
14	253	16659
15	260	15992
16	267	15439
17	274	14956
18	280	14501
19	287	14102
20	294	13731
21	298	13247
22	304	12919
23	310	12634
24	316	12361
25	323	12116
26	329	11885
27	336	11682
28	341	11418
29	347	11235
30	352	11025
31	358	10859
32	365	10712
33	371	10568
34	378	10441
35	384	10307
36	391	10200
37	398	10093
38	405	9989
39	412	9900
40	418	9800
41	425	9714
42	432	9631
43	439	9552
44	445	9464
45	452	9376
46	460	9328
47	467	9265
48	473	9197
49	480	9124
50	486	9058
51	493	8989
52	500	8942
53	506	8878
54	513	8820
55	520	8767
56	526	8713
57	531	8627
58	537	8568
59	539	8445
60	544	8386
61	550	8331
62	556	8283
63	562	8233
64	568	8184
65	574	8132
66	581	8091
67	587	8048
68	593	8003
69	599	7964
70	605	7922
71	611	7881
72	617	7842
73	623	7802
74	629	7765
75	635	7726
76	641	7693
77	647	7653
78	653	7619
79	659	7582
80	665	7546
81	671	7512
82	677	7485
83	683	7454
84	690	7433
85	696	7399
86	702	7370
87	708	7339
88	714	7311
89	720	7282
90	726	7254
91	732	7225
92	738	7198
93	744	7172
94	750	7146
95	755	7117
96	761	7092
97	767	7066
98	773	7041
99	779	7014
100	785	6993
101	791	6970
102	797	6948
103	803	6923
104	809	6902
105	815	6879
106	821	6856
107	827	6833
108	833	6813
109	839	6795
110	846	6776
111	852	6757
112	858	6737
113	864	6718
114	870	6699
115	876	6678
116	882	6658
117	888	6637
118	894	6621
119	900	6600
120	906	6583
121	912	6565
122	918	6547
123	924	6528
124	930	6511
125	936	6496
126	944	6489
127	949	6466
128	956	6459
129	979	6556
130	990	6569
131	1002	6592
132	1011	6595
133	1021	6600
134	1028	6590
135	1035	6578
136	1042	6567
137	1049	6555
138	1055	6540
139	1062	6526
140	1068	6509
141	1074	6494
142	1082	6487
143	1089	6476
144	1095	6460
145	1102	6447
146	1108	6430
147	1114	6415
148	1120	6402
149	1128	6392
150	1134	6380
151	1142	6371
152	1148	6359
153	1155	6349
154	1163	6340
155	1169	6326
156	1175	6312
157	1181	6298
158	1188	6286
159	1195	6276
160	1201	6263
161	1208	6251
162	1215	6241
163	1222	6230
164	1228	6217
165	1235	6208
166	1243	6203
167	1251	6196
168	1257	6183
169	1264	6173
170	1270	6160
171	1276	6147
172	1283	6135
173	1289	6120
174	1295	6107
175	1301	6095
176	1308	6082
177	1314	6070
178	1321	6060
179	1328	6050
180	1334	6040
181	1341	6029
182	1348	6021
183	1355	6011
184	1363	6005
185	1370	5996
186	1377	5987
187	1384	5980
188	1392	5974
189	1399	5965
190	1405	5954
191	1414	5953
192	1421	5942
193	1428	5933
194	1435	5924
195	1441	5914
196	1448	5904
197	1455	5894
198	1461	5883
199	1468	5874
200	1476	5867
201	1482	5856
202	1488	5844
203	1494	5832
204	1501	5822
205	1508	5813
206	1514	5803
207	1521	5792
208	1527	5782
209	1534	5773
210	1541	5763
211	1548	5756
212	1555	5746
213	1562	5737
214	1568	5726
215	1575	5719
216	1582	5711
217	1589	5701
218	1596	5692
219	1603	5683
220	1609	5672
221	1616	5663
222	1622	5654
223	1629	5644
224	1635	5635
225	1642	5625
226	1648	5614
227	1655	5604
228	1661	5594
229	1668	5584
230	1674	5574
231	1681	5565
232	1687	5554
233	1694	5546
234	1700	5536
235	1707	5527
236	1713	5515
237	1719	5505
238	1725	5494
239	1732	5484
240	1737	5473
241	1745	5465
242	1751	5457
243	1758	5448
244	1765	5441
245	1772	5432
246	1779	5423
247	1786	5416
248	1792	5407
249	1800	5401
250	1807	5395
251	1815	5389
252	1822	5381
253	1831	5379
254	1838	5371
255	1846	5366
256	1853	5359
257	1861	5355
258	1869	5348
259	1877	5344
260	1885	5338
261	1894	5335
262	1901	5329
263	1909	5323
264	1915	5313
265	1922	5305
266	1929	5296
267	1936	5288
268	1943	5280
269	1951	5275
270	1959	5270
271	1967	5266
272	1975	5261
273	1983	5254
274	1990	5246
275	1996	5238
276	2003	5230
277	2010	5222
278	2017	5214
279	2025	5207
280	2032	5200
281	2039	5192
282	2046	5184
283	2053	5177
284	2061	5171
285	2068	5165
286	2076	5159
287	2084	5154
288	2092	5147
289	2100	5142
290	2108	5137
291	2115	5128
292	2121	5120
293	2128	5112
294	2136	5106
295	2144	5100
296	2151	5093
297	2159	5087
298	2167	5080
299	2175	5075
300	2182	5067
301	2190	5063
302	2199	5058
303	2206	5050
304	2212	5041
305	2219	5033
306	2225	5024
307	2232	5016
308	2238	5006
309	2245	4998
310	2252	4989
311	2259	4981
312	2265	4972
313	2272	4965
314	2278	4955
315	2285	4946
316	2291	4937
317	2298	4929
318	2305	4921
319	2312	4913
320	2319	4906
321	2326	4899
322	2333	4891
323	2341	4884
324	2347	4876
325	2355	4869
326	2361	4860
327	2368	4853
328	2375	4844
329	2383	4838
330	2390	4830
331	2397	4823
332	2404	4815
333	2411	4808
334	2419	4802
335	2426	4795
336	2433	4787
337	2440	4780
338	2447	4771
339	2453	4763
340	2460	4754
341	2467	4746
342	2474	4739
343	2481	4731
344	2488	4724
345	2495	4717
346	2502	4710
347	2509	4702
348	2516	4694
349	2523	4685
350	2530	4678
351	2537	4670
352	2544	4663
353	2551	4655
354	2558	4648
355	2565	4640
356	2572	4632
357	2578	4624
358	2586	4618
359	2593	4610
360	2599	4601
361	2606	4593
362	2613	4585
363	2619	4577
364	2626	4570
365	2633	4562
366	2640	4554
367	2649	4549
368	2656	4543
369	2664	4536
370	2671	4528
371	2677	4520
372	2685	4513
373	2692	4506
374	2699	4498
375	2705	4490
376	2713	4484
377	2722	4480
378	2729	4472
379	2736	4464
380	2742	4456
381	2749	4448
382	2756	4440
383	2763	4432
384	2769	4424
385	2776	4415
386	2783	4408
387	2790	4401
388	2797	4394
389	2804	4386
390	2811	4378
391	2818	4371
392	2824	4362
393	2830	4353
394	2837	4345
395	2843	4337
396	2850	4329
397	2856	4320
398	2863	4312
399	2869	4304
400	2875	4295
401	2881	4286
402	2888	4278
403	2894	4269
404	2900	4261
405	2906	4252
406	2913	4244
407	2919	4236
408	2925	4227
409	2932	4219
410	2938	4211
411	2945	4203
412	2951	4195
413	2958	4187
414	2965	4179
415	2973	4173
416	2980	4167
417	2988	4160
418	2995	4153
419	3002	4145
420	3009	4139
421	3016	4131
422	3023	4124
423	3031	4118
424	3038	4111
425	3045	4103
426	3052	4096
427	3058	4087
428	3065	4080
429	3072	4072
430	3079	4065
431	3085	4057
432	3092	4049
433	3098	4040
434	3105	4033
435	3112	4025
436	3119	4019
437	3126	4011
438	3134	4005
439	3141	3998
440	3148	3991
441	3155	3983
442	3164	3979
443	3173	3973
444	3180	3966
445	3188	3961
446	3197	3955
447	3204	3948
448	3211	3941
449	3219	3934
450	3225	3926
451	3233	3920
452	3242	3914
453	3248	3907
454	3256	3900
455	3263	3892
456	3269	3884
457	3275	3876
458	3282	3869
459	3288	3860
460	3295	3853
461	3301	3845
462	3308	3837
463	3315	3829
464	3322	3822
465	3328	3814
466	3335	3806
467	3341	3798
468	3348	3791
469	3354	3782
470	3363	3777
471	3370	3769
472	3377	3763
473	3383	3754
