delivery_id,origin_lat,origin_lon,dest_lat,dest_lon,delivery_timestamp,weather_condition,traffic_condition,actual_delivery_time
0,40.73349056146571,-73.98607279273367,40.73451922084942,-73.9082514156868,2025-01-03 19:05:30.777421,500,light,34.682258617509454
1,40.77940251892703,-73.93799272440715,40.729050450567144,-73.9530011731842,2024-12-24 10:10:30.777421,801,heavy,44.787743097851276
2,40.75334610919763,-73.91061074169491,40.7890141137396,-73.92922786497326,2025-01-19 07:48:30.777421,801,normal,27.469639920165868
3,40.77885972112245,-73.98483251202673,40.706220322616474,-73.9852696955721,2024-12-31 15:54:30.777421,800,light,20.095014194181857
4,40.731172206779554,-73.97515108601856,40.700784159077195,-73.93690782097708,2024-12-28 04:15:30.777421,600,normal,42.77207094095443
5,40.774394629257266,-73.99664675652642,40.74476734254104,-73.98657251490977,2025-01-04 12:40:30.777421,800,normal,28.495639773042374
6,40.75698896848713,-73.92375413142594,40.795793412105674,-73.94703402760544,2025-01-18 15:44:30.777421,801,normal,38.015074781823536
7,40.78767656367617,-73.9657918251284,40.72418932941129,-73.94993964288453,2025-01-08 01:52:30.777421,800,light,21.32449586222795
8,40.7821257304672,-73.98893682630448,40.76796203327351,-73.99237607820264,2025-01-03 22:53:30.777421,801,heavy,49.55010320403112
9,40.78464522917345,-73.9872511337668,40.72747038150479,-73.9193034509116,2025-01-21 08:40:30.777421,600,heavy,59.79256469289737
10,40.73972872905604,-73.92027046342204,40.74596648704026,-73.94534228579677,2024-12-24 23:55:30.777421,800,normal,26.276215223800815
11,40.71499174273488,-73.97707486047673,40.743281600220946,-73.9956100057357,2024-12-24 08:39:30.777421,500,heavy,47.62484106793578
12,40.772225256839306,-73.9279963463454,40.71657497798202,-73.95544583612582,2024-12-25 12:23:30.777421,801,light,27.880768880232313
13,40.76411476328853,-73.9306051555533,40.720918546540794,-73.99500209713403,2024-12-27 12:21:30.777421,801,normal,38.032133644349365
14,40.75427244433476,-73.9748200941093,40.78436496640518,-73.9018807470836,2025-01-19 02:09:30.777421,800,normal,28.740134064207552
15,40.734569599350394,-73.98184022831985,40.77931428739967,-73.91462150782954,2025-01-20 00:58:30.777421,600,normal,35.970464019016724
16,40.790845056133364,-73.9416608205234,40.72419771303171,-73.90393730244868,2025-01-05 00:38:30.777421,800,heavy,48.998003622858086
17,40.74008514167637,-73.95379941963559,40.719692570445346,-73.90485701896382,2025-01-06 13:19:30.777421,800,light,20.407322467391545
18,40.79472833396118,-73.9846648596884,40.79948192939659,-73.9288277194254,2025-01-12 18:03:30.777421,800,light,25.04329267071013
19,40.75862298320168,-73.94941113211155,40.79811437317918,-73.94304602204329,2024-12-28 06:26:30.777421,800,normal,29.875836661481227
20,40.76114542354346,-73.99818898161791,40.72595417831761,-73.95630041143345,2025-01-11 21:50:30.777421,801,light,25.70229159367664
21,40.78721239089441,-73.90678817175164,40.759356093537875,-73.9926918437973,2025-01-21 14:24:30.777421,800,normal,27.565118499059967
22,40.75651331835892,-73.93033491761231,40.76223432646172,-73.90188221632377,2025-01-10 15:28:30.777421,801,normal,36.41081829228506
23,40.79224993811773,-73.92927613656866,40.71901076497837,-73.92074048837117,2025-01-05 23:32:30.777421,800,light,9.671749570049958
24,40.71525390429143,-73.94237116398332,40.79078987937796,-73.90562984071798,2025-01-05 15:01:30.777421,800,normal,35.682352541835186
25,40.76067150463828,-73.95758693286976,40.79601356044054,-73.94785403612785,2024-12-25 17:37:30.777421,800,heavy,35.61244557924175
26,40.77364442356247,-73.90656329852311,40.79773079079915,-73.92426897928657,2024-12-23 22:59:30.777421,800,normal,32.03978454875324
27,40.792556851290676,-73.9549160628596,40.7161671436237,-73.95230998935321,2025-01-06 02:28:30.777421,800,light,25.420102471739717
28,40.711323804584076,-73.90151588010377,40.7718331175372,-73.9752659684181,2025-01-17 16:03:30.777421,800,normal,36.374886910104095
29,40.78388980864459,-73.98753373187968,40.764061518354886,-73.93333995209534,2024-12-25 03:29:30.777421,500,light,29.749195850582733
30,40.79208418826173,-73.91301036379379,40.71626997438086,-73.94349146875473,2024-12-24 16:57:30.777421,800,normal,25.854454096829773
31,40.75188380571261,-73.94087245642551,40.77716269109786,-73.95011043354641,2025-01-14 17:41:30.777421,800,normal,21.976225060445156
32,40.73990027038701,-73.99452383611779,40.70121031167761,-73.99909615309207,2024-12-31 17:44:30.777421,800,heavy,39.558377915889174
33,40.733519724164594,-73.9197146551402,40.735702934397004,-73.90738059315683,2024-12-26 07:06:30.777421,801,normal,22.230035141143432
34,40.70046320230046,-73.96665008283088,40.72286767796036,-73.93656363111283,2024-12-26 12:40:30.777421,801,heavy,41.36066006140718
35,40.739816869359096,-73.94626043970621,40.722207587069335,-73.96783300103405,2025-01-21 17:16:30.777421,800,heavy,39.95158565768856
36,40.791985561641276,-73.9653654005634,40.784804208960146,-73.92711385577302,2025-01-14 04:10:30.777421,800,normal,26.550420109855377
37,40.73469532018962,-73.92624987518903,40.70953992773132,-73.95712979790136,2025-01-02 21:32:30.777421,800,normal,30.20886828682456
38,40.745221794088984,-73.977539517706,40.70291697636453,-73.95191098533971,2025-01-07 22:47:30.777421,801,light,25.36114235195549
39,40.74524395161327,-73.98591429796203,40.76624340117011,-73.98814973764019,2024-12-31 04:57:30.777421,800,heavy,39.70619421069852
40,40.717638698650624,-73.95016322272606,40.72888849389092,-73.9602163374498,2024-12-29 22:22:30.777421,800,heavy,25.03094568073886
41,40.74189254495045,-73.9085154098932,40.791953102465605,-73.9006744984577,2025-01-22 16:51:30.777421,800,light,18.821179277257805
42,40.73623938991167,-73.94194116497219,40.704491129899566,-73.92389920765046,2024-12-29 16:23:30.777421,800,light,26.570626927419507
43,40.76322642879195,-73.99869055434117,40.737172406640234,-73.96075418137706,2025-01-22 16:31:30.777421,800,normal,34.02128136473722
44,40.76635373720167,-73.98219640331303,40.7754264973347,-73.90815735678547,2024-12-31 11:26:30.777421,600,heavy,43.692844461220545
45,40.79610703174694,-73.98513372722469,40.79509285945025,-73.94228774139617,2025-01-09 10:07:30.777421,800,heavy,36.29697273136107
46,40.741462412372705,-73.99146503319214,40.73571211593005,-73.92124509141412,2024-12-25 15:22:30.777421,500,normal,42.43179220559476
47,40.799687425184594,-73.94978049896687,40.72510013832623,-73.94359259711665,2025-01-09 03:13:30.777421,800,normal,26.409805932974255
48,40.759538501732,-73.99329235226116,40.73585784615249,-73.93433689262922,2025-01-04 17:49:30.777421,800,normal,29.44254606437444
49,40.77499604703991,-73.97900944069045,40.72403989128935,-73.98084070542652,2025-01-21 07:04:30.777421,801,normal,40.9299293095875
50,40.78980542894407,-73.9794860359518,40.79182390866754,-73.98981963170505,2025-01-02 22:11:30.777421,800,heavy,39.468958819896244
51,40.71906877206637,-73.99634503321519,40.750595790773495,-73.9779147217037,2025-01-17 18:30:30.777421,801,normal,30.224043243970865
52,40.747206694511,-73.94351588667374,40.70389299633257,-73.99639811817086,2025-01-11 06:01:30.777421,500,normal,35.05777985644422
53,40.70657086394284,-73.9224472383305,40.71752217721058,-73.91332296454941,2024-12-24 22:15:30.777421,800,normal,39.26705398949914
54,40.745328883474805,-73.94756097306724,40.7282478743977,-73.90495408294248,2024-12-26 13:33:30.777421,801,heavy,49.635754139429
55,40.744076274693825,-73.95992369391247,40.75816222929892,-73.95633858102313,2025-01-09 10:49:30.777421,800,light,24.076326511119074
56,40.75596403313082,-73.98447597540692,40.75800888346694,-73.94833016147737,2025-01-06 08:07:30.777421,801,normal,30.11602024375129
57,40.71819281304953,-73.91382143789865,40.77587762537573,-73.97175039340271,2024-12-24 12:51:30.777421,800,normal,32.694084640905615
58,40.79461154621336,-73.96266906837202,40.73530503916003,-73.91059056974667,2024-12-31 22:03:30.777421,801,heavy,51.27968822846715
59,40.72707446731436,-73.9356000456761,40.79464565131504,-73.91074417725136,2025-01-02 03:27:30.777421,800,heavy,34.48775043367171
60,40.74087341710981,-73.99746136443396,40.74194479939573,-73.92196344969932,2025-01-21 03:07:30.777421,500,normal,40.119769151676955
61,40.71561525973662,-73.92840277711527,40.74763357333011,-73.95024601478539,2024-12-30 13:22:30.777421,600,normal,43.86635785032428
62,40.76589239419101,-73.99729040074965,40.72046801090573,-73.94088696967415,2024-12-28 14:23:30.777421,801,normal,33.13639249045734
63,40.722197216193294,-73.9768925203412,40.71861358977534,-73.96684353009329,2024-12-27 18:25:30.777421,801,normal,28.136410483564255
